dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support
goto,100,A,E_high,11592,149,211,0.1213139740103824,0.1072054304440346,0.1369002977932683,0.098061954964678,0.001,999,5000,,,False
goto,100,A,E_low,11592,149,211,0.1038654342280964,0.0919494016031653,0.1179840994815545,0.0819455347347716,0.001,999,5000,,,False
goto,100,A,E_union,11592,149,211,0.225179408238479,0.2091046196542419,0.2420042742973602,0.1800074896994497,0.001,999,5000,,,False
goto,100,A,R_high,11592,149,211,-0.0061380910019115,-0.009077097589722,-0.0036243915567396,-0.0046585966720205,0.918,999,5000,,1.0,False
goto,100,A,R_low,11592,149,211,-0.0016703823313479,-0.0030499598354945,-0.0002693045752159,-0.0025083021412243,0.031,999,5000,,0.093,False
goto,100,A,R_union,11592,149,211,-0.0078084733332594,-0.0115663186369272,-0.0046540940042752,-0.0071668988132449,0.736,999,5000,,1.0,False
goto,100,A,L_high,11592,149,211,0.127452065012294,0.1141409200508281,0.1423809653032908,0.1027205516366986,0.001,999,5000,,0.006,True
goto,100,A,L_low,11592,149,211,0.1055358165594443,0.0942767457525938,0.1190423117572901,0.0844538368759959,0.001,999,5000,,0.006,True
goto,100,A,L_union,11592,149,211,0.2329878815717383,0.2178891507280004,0.2494015933450547,0.1871743885126945,0.001,999,5000,,0.006,True
rfbo,250,A,E_high,1914,109,157,0.1180270759182564,0.0876259281494239,0.1496893440938086,0.0700004997881861,0.001,999,5000,,,False
rfbo,250,A,E_low,1914,109,157,0.0842468279025881,0.058171375442211,0.1125341492952028,0.0587626281500809,0.005,999,5000,,,False
rfbo,250,A,E_union,1914,109,157,0.2022739038208444,0.1697028824643137,0.2336581613698422,0.1287631279382671,0.001,999,5000,,,False
rfbo,250,A,R_high,1914,109,157,-0.0051417319891494,-0.0153900037187378,0.0033853348726972,-0.001335272662963,0.887,999,5000,,1.0,False
rfbo,250,A,R_low,1914,109,157,0.0085850859726971,0.0020958868017845,0.0168410335854909,-0.0001061800367629,0.002,999,5000,,0.032,True
rfbo,250,A,R_union,1914,109,157,0.0034433539835477,-0.0047230129572821,0.010724124660959,-0.001441452699726,0.112,999,5000,,0.56,False
rfbo,250,A,L_high,1914,109,157,0.1231688079074057,0.0961318054663259,0.1510780462738576,0.0713357724511492,0.001,999,5000,,0.024,True
rfbo,250,A,L_low,1914,109,157,0.075661741929891,0.0509284271990167,0.1016384697856558,0.0588688081868439,0.032,999,5000,,0.224,False
rfbo,250,A,L_union,1914,109,157,0.1988305498372967,0.1681871617824299,0.2292191857089581,0.1302045806379931,0.001,999,5000,,0.024,True
rfbo,500,A,E_high,1552,109,151,0.106072057594557,0.0719661839509742,0.1397082840500982,0.0652081607153066,0.007,999,5000,,,False
rfbo,500,A,E_low,1552,109,151,0.1096139950221853,0.0788172544379484,0.1450454909031263,0.0541012030347053,0.001,999,5000,,,False
rfbo,500,A,E_union,1552,109,151,0.2156860526167424,0.1802219077141023,0.2500683632630779,0.119309363750012,0.001,999,5000,,,False
rfbo,500,A,R_high,1552,109,151,-0.0035317638955102,-0.0136540345698115,0.0051253334775259,0.0002777767414653,0.886,999,5000,,1.0,False
rfbo,500,A,R_low,1552,109,151,0.0100092395070635,0.0028996050796678,0.01871636328698,0.0003631213807965,0.002,999,5000,,0.032,True
rfbo,500,A,R_union,1552,109,151,0.0064774756115533,-0.0019569075522536,0.0145298762826379,0.0006408981222619,0.046,999,5000,,0.276,False
rfbo,500,A,L_high,1552,109,151,0.1096038214900673,0.0785330423952224,0.1406148085206214,0.0649303839738412,0.005,999,5000,,0.06,False
rfbo,500,A,L_low,1552,109,151,0.0996047555151217,0.0713793496964746,0.1313737638901118,0.0537380816539088,0.001,999,5000,,0.024,True
rfbo,500,A,L_union,1552,109,151,0.209208577005189,0.1733835164829788,0.2442112621972407,0.1186684656277501,0.001,999,5000,,0.024,True
rfbo,1000,A,E_high,1119,105,143,0.1214785750969068,0.0831467121131386,0.1599415525865896,0.0678708436599858,0.002,999,5000,,,False
rfbo,1000,A,E_low,1119,105,143,0.1120910221936895,0.0779001087178356,0.148897179760381,0.0615533510579197,0.002,999,5000,,,False
rfbo,1000,A,E_union,1119,105,143,0.2335695972905964,0.1932160635941763,0.2727214072154973,0.1294241947179054,0.001,999,5000,,,False
rfbo,1000,A,R_high,1119,105,143,-1.8409604510996205e-05,-0.0075822237482446,0.0064687405736441,8.040016885757197e-05,0.489,999,5000,,1.0,False
rfbo,1000,A,R_low,1119,105,143,0.0111140860176762,0.0026245818404845,0.0207833557041727,0.000751635438883,0.001,999,5000,,0.024,True
rfbo,1000,A,R_union,1119,105,143,0.0110956764131652,0.0035648040518478,0.0187193071841466,0.0008320356077405,0.008,999,5000,,0.072,False
rfbo,1000,A,L_high,1119,105,143,0.1214969847014178,0.0850070621381125,0.1587111609132651,0.0677904434911282,0.002,999,5000,,0.032,True
rfbo,1000,A,L_low,1119,105,143,0.1009769361760133,0.0697714856424234,0.1348429018495238,0.0608017156190366,0.005,999,5000,,0.06,False
rfbo,1000,A,L_union,1119,105,143,0.2224739208774313,0.1825158979597375,0.2611160848697434,0.1285921591101649,0.001,999,5000,,0.024,True
rfbo,2000,A,E_high,688,103,133,0.1067829186861095,0.0613389051356547,0.1551132639577178,0.0631653548657518,0.026,999,5000,,,False
rfbo,2000,A,E_low,688,103,133,0.1284932886128481,0.086382602056569,0.1735859315159969,0.0650199110239998,0.002,999,5000,,,False
rfbo,2000,A,E_union,688,103,133,0.2352762072989575,0.1850365423852619,0.2834819852345026,0.1281852658897516,0.001,999,5000,,,False
rfbo,2000,A,R_high,688,103,133,-0.0009362369762747,-0.0088237813840143,0.0067586827686196,0.0010712455535269,0.684,999,5000,,1.0,False
rfbo,2000,A,R_low,688,103,133,0.0162115205585635,0.0055081535015725,0.0275805936166912,0.0018092623644917,0.001,999,5000,,0.024,True
rfbo,2000,A,R_union,688,103,133,0.0152752835822887,0.0055691996775938,0.0252690015268633,0.0028805079180187,0.004,999,5000,,0.052,False
rfbo,2000,A,L_high,688,103,133,0.1077191556623842,0.0634503543201848,0.1545779244828143,0.0620941093122248,0.021,999,5000,,0.168,False
rfbo,2000,A,L_low,688,103,133,0.1122817680542845,0.0712243674927726,0.1553733610740342,0.063210648659508,0.007,999,5000,,0.07,False
rfbo,2000,A,L_union,688,103,133,0.2200009237166687,0.170117215374532,0.2680587622132255,0.1253047579717329,0.001,999,5000,,0.024,True
goto,100,B,rho_high,11593,149,211,0.1136036315565645,0.0974854068323995,0.13134132595182,0.075104962558885,0.001,999,5000,0.3046666091607004,0.009,True
goto,100,B,rho_low,11593,149,211,0.0881808024440934,0.0800257500196514,0.0963244838926906,0.0646051251151323,0.001,999,5000,0.3046666091607004,0.009,True
goto,100,B,rho_union,11593,149,211,0.2017844340006579,0.1859074726607619,0.2180414059189576,0.1397100876740173,0.001,999,5000,0.3046666091607004,0.009,True
goto,100,B,tau_high,11593,149,211,0.0964919949864451,0.0812671206386674,0.1138308416875179,0.0991557876508349,0.665,999,5000,0.3046666091607004,1.0,False
goto,100,B,tau_low,11593,149,211,0.0769666242512805,0.0687861669220697,0.085033900711543,0.0879595961186722,0.997,999,5000,0.3046666091607004,1.0,False
