dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support
goto,100,A,E_high,11592,149,211,0.12131397401038248,0.1072054304440346,0.1369002977932683,0.09806195496467808,0.001,999,5000,,,False
goto,100,A,E_low,11592,149,211,0.10386543422809644,0.09194940160316539,0.11798409948155456,0.08194553473477163,0.001,999,5000,,,False
goto,100,A,E_union,11592,149,211,0.22517940823847907,0.20910461965424199,0.24200427429736024,0.1800074896994497,0.001,999,5000,,,False
goto,100,A,R_high,11592,149,211,-0.00613809100191151,-0.009077097589722046,-0.0036243915567396104,-0.004658596672020543,0.918,999,5000,,1.0,False
goto,100,A,R_low,11592,149,211,-0.0016703823313479074,-0.0030499598354945413,-0.00026930457521592626,-0.002508302141224357,0.031,999,5000,,0.093,False
goto,100,A,R_union,11592,149,211,-0.007808473333259416,-0.011566318636927215,-0.004654094004275289,-0.0071668988132449,0.736,999,5000,,1.0,False
goto,100,A,L_high,11592,149,211,0.12745206501229403,0.11414092005082813,0.14238096530329086,0.10272055163669863,0.001,999,5000,,0.006,True
goto,100,A,L_low,11592,149,211,0.10553581655944438,0.09427674575259382,0.11904231175729016,0.08445383687599599,0.001,999,5000,,0.006,True
goto,100,A,L_union,11592,149,211,0.2329878815717383,0.21788915072800047,0.24940159334505477,0.18717438851269458,0.001,999,5000,,0.006,True
rfbo,250,A,E_high,1914,109,157,0.1180270759182564,0.08762592814942398,0.14968934409380866,0.07000049978818614,0.001,999,5000,,,False
rfbo,250,A,E_low,1914,109,157,0.08424682790258817,0.05817137544221109,0.11253414929520285,0.05876262815008097,0.005,999,5000,,,False
rfbo,250,A,E_union,1914,109,157,0.2022739038208444,0.16970288246431375,0.23365816136984222,0.12876312793826714,0.001,999,5000,,,False
rfbo,250,A,R_high,1914,109,157,-0.005141731989149403,-0.015390003718737827,0.0033853348726972936,-0.0013352726629630377,0.887,999,5000,,1.0,False
rfbo,250,A,R_low,1914,109,157,0.008585085972697153,0.0020958868017845475,0.016841033585490942,-0.00010618003676296363,0.002,999,5000,,0.032,True
rfbo,250,A,R_union,1914,109,157,0.003443353983547751,-0.004723012957282112,0.010724124660959072,-0.0014414526997260026,0.112,999,5000,,0.56,False
rfbo,250,A,L_high,1914,109,157,0.12316880790740578,0.09613180546632594,0.15107804627385768,0.0713357724511492,0.001,999,5000,,0.024,True
rfbo,250,A,L_low,1914,109,157,0.07566174192989104,0.050928427199016746,0.1016384697856558,0.05886880818684394,0.032,999,5000,,0.224,False
rfbo,250,A,L_union,1914,109,157,0.19883054983729678,0.16818716178242996,0.22921918570895816,0.13020458063799312,0.001,999,5000,,0.024,True
rfbo,500,A,E_high,1552,109,151,0.106072057594557,0.0719661839509742,0.13970828405009827,0.06520816071530662,0.007,999,5000,,,False
rfbo,500,A,E_low,1552,109,151,0.10961399502218534,0.07881725443794844,0.14504549090312638,0.05410120303470539,0.001,999,5000,,,False
rfbo,500,A,E_union,1552,109,151,0.2156860526167424,0.18022190771410238,0.25006836326307796,0.119309363750012,0.001,999,5000,,,False
rfbo,500,A,R_high,1552,109,151,-0.0035317638955102825,-0.013654034569811553,0.005125333477525998,0.00027777674146537665,0.886,999,5000,,1.0,False
rfbo,500,A,R_low,1552,109,151,0.010009239507063594,0.0028996050796678786,0.018716363286980054,0.0003631213807965565,0.002,999,5000,,0.032,True
rfbo,500,A,R_union,1552,109,151,0.006477475611553311,-0.001956907552253646,0.014529876282637976,0.0006408981222619316,0.046,999,5000,,0.276,False
rfbo,500,A,L_high,1552,109,151,0.10960382149006738,0.07853304239522249,0.1406148085206214,0.06493038397384125,0.005,999,5000,,0.06,False
rfbo,500,A,L_low,1552,109,151,0.09960475551512175,0.07137934969647462,0.13137376389011188,0.05373808165390886,0.001,999,5000,,0.024,True
rfbo,500,A,L_union,1552,109,151,0.20920857700518905,0.1733835164829788,0.2442112621972407,0.11866846562775012,0.001,999,5000,,0.024,True
rfbo,1000,A,E_high,1119,105,143,0.12147857509690686,0.0831467121131386,0.15994155258658962,0.0678708436599858,0.002,999,5000,,,False
rfbo,1000,A,E_low,1119,105,143,0.11209102219368956,0.07790010871783568,0.148897179760381,0.0615533510579197,0.002,999,5000,,,False
rfbo,1000,A,E_union,1119,105,143,0.23356959729059643,0.1932160635941763,0.27272140721549737,0.12942419471790548,0.001,999,5000,,,False
rfbo,1000,A,R_high,1119,105,143,-1.8409604510996205e-05,-0.007582223748244647,0.006468740573644141,8.040016885757197e-05,0.489,999,5000,,1.0,False
rfbo,1000,A,R_low,1119,105,143,0.011114086017676236,0.0026245818404845786,0.020783355704172786,0.0007516354388830286,0.001,999,5000,,0.024,True
rfbo,1000,A,R_union,1119,105,143,0.011095676413165237,0.0035648040518478858,0.01871930718414668,0.0008320356077405992,0.008,999,5000,,0.07200000000000001,False
rfbo,1000,A,L_high,1119,105,143,0.12149698470141786,0.08500706213811256,0.1587111609132651,0.06779044349112823,0.002,999,5000,,0.032,True
rfbo,1000,A,L_low,1119,105,143,0.10097693617601332,0.0697714856424234,0.1348429018495238,0.06080171561903667,0.005,999,5000,,0.06,False
rfbo,1000,A,L_union,1119,105,143,0.2224739208774313,0.18251589795973752,0.26111608486974347,0.1285921591101649,0.001,999,5000,,0.024,True
rfbo,2000,A,E_high,688,103,133,0.10678291868610951,0.061338905135654764,0.15511326395771785,0.06316535486575182,0.026,999,5000,,,False
rfbo,2000,A,E_low,688,103,133,0.1284932886128481,0.08638260205656907,0.17358593151599694,0.06501991102399982,0.002,999,5000,,,False
rfbo,2000,A,E_union,688,103,133,0.23527620729895754,0.1850365423852619,0.2834819852345026,0.1281852658897516,0.001,999,5000,,,False
rfbo,2000,A,R_high,688,103,133,-0.0009362369762747522,-0.00882378138401435,0.006758682768619696,0.0010712455535269775,0.684,999,5000,,1.0,False
rfbo,2000,A,R_low,688,103,133,0.01621152055856354,0.005508153501572569,0.02758059361669129,0.0018092623644917459,0.001,999,5000,,0.024,True
rfbo,2000,A,R_union,688,103,133,0.015275283582288786,0.0055691996775938295,0.02526900152686333,0.00288050791801872,0.004,999,5000,,0.052000000000000005,False
rfbo,2000,A,L_high,688,103,133,0.10771915566238426,0.06345035432018487,0.1545779244828143,0.06209410931222485,0.021,999,5000,,0.168,False
rfbo,2000,A,L_low,688,103,133,0.11228176805428453,0.07122436749277264,0.15537336107403424,0.06321064865950807,0.007,999,5000,,0.07,False
rfbo,2000,A,L_union,688,103,133,0.2200009237166687,0.17011721537453206,0.2680587622132255,0.1253047579717329,0.001,999,5000,,0.024,True
goto,100,B,rho_high,11593,149,211,0.11360363155656455,0.09748540683239955,0.13134132595182008,0.07510496255888503,0.001,999,5000,0.30466660916070043,0.009000000000000001,True
goto,100,B,rho_low,11593,149,211,0.0881808024440934,0.0800257500196514,0.09632448389269063,0.06460512511513232,0.001,999,5000,0.30466660916070043,0.009000000000000001,True
goto,100,B,rho_union,11593,149,211,0.20178443400065793,0.18590747266076194,0.21804140591895768,0.13971008767401732,0.001,999,5000,0.30466660916070043,0.009000000000000001,True
